frec,vin,vout,desfase
10.0,5.0110701922973275,0.014855944275721934,89.9819989299385
110.0,5.034323397813238,0.028512135236888638,89.8010464569151
210.0,5.009134347991737,0.0813234759548593,89.6153005091199
310.0,5.01707102266333,0.08507976026354225,89.4200035547709
410.0,5.024290415013042,0.0743116245829739,89.2095770467745
510.0,5.036324069229764,0.12339043569664108,88.9770380080382
610.0,5.036742891384846,0.14629117437499373,88.7131212326481
710.0,5.043830820950551,0.15557792160491618,88.4048534105046
810.0,5.020545978186966,0.19240786657621287,88.0330748241782
910.0,5.016184124490742,0.25220977456809146,87.5678215980967
1010.0,5.030138984523155,0.3031975188531676,86.9590026618971
1110.0,5.0081217948647145,0.3688312918840014,86.1155945880674
1210.0,5.00674617126375,0.45132726884985147,84.8526094835481
1310.0,5.005583525722246,0.6792278624453929,82.7277769771097
1410.0,5.045472525260262,1.0229114590587978,78.3648436533661
1510.0,5.031997600254306,2.1530272514478344,64.5880625270693
1610.0,5.007718164484607,4.568112781464332,-24.7519264674105
1710.0,5.042492910851343,1.6697303465589624,-70.8137113993271
1810.0,5.038729637437211,0.9987644250253597,-79.0297340551696
1910.0,5.006508117335838,0.6768496261035502,-82.2378125449626
2010.0,5.011304363043371,0.5439437088888674,-83.9415555387201
2110.0,5.047443116398741,0.4598027842114931,-84.9995579963551
2210.0,5.045198647856936,0.39841270190164846,-85.7220077254885
2310.0,5.022441836746774,0.3572284797314122,-86.2478691627618
2410.0,5.045431103746617,0.3331982571086286,-86.648631626379
2510.0,5.025195715264901,0.30925415583154336,-86.9648166769912
2610.0,5.020862084353612,0.2515130167920246,-87.2211071123651
2710.0,5.024654432727649,0.25943386831359994,-87.4333987352478
2810.0,5.006925896084128,0.2458592622262106,-87.6123933147176
2910.0,5.032758371238717,0.19720166168157155,-87.7655619338565
3010.0,5.039613020934792,0.21547600420202254,-87.8982802723697
3110.0,5.008792169955861,0.22207523644405067,-88.0145164691962
3210.0,5.015661372759664,0.18749359978023108,-88.1172645938811
3310.0,5.041814092152819,0.1696291360203123,-88.2088271182566
3410.0,5.025178423069835,0.1638601261397253,-88.2910043953672
3510.0,5.011953147374697,0.17703512913217045,-88.3652250117987
3610.0,5.006101284834702,0.18211528841896485,-88.4326374813585
3710.0,5.029647271353583,0.14836402184182945,-88.4941760316452
3810.0,5.031833828871557,0.15886696215478216,-88.5506086439252
3910.0,5.017139978819099,0.16428214267901417,-88.6025726951273
