f,T
10.0,0.44822052622109887
110.909090909091,0.4422031119729839
211.818181818182,0.4454019224941045
312.727272727273,0.4534175073706156
413.636363636364,0.4591913338427299
514.545454545455,0.46269216266730223
615.454545454545,0.46752218484666797
716.363636363636,0.4745742487121779
817.272727272727,0.4848044211316984
918.181818181818,0.5005799250464381
1019.09090909091,0.5102933561762262
1120.0,0.5188646806093274
1220.90909090909,0.5354731206988392
1321.81818181818,0.5433304984412839
1422.72727272727,0.5534111758420683
1523.63636363636,0.5648604087235967
1624.54545454545,0.5739407576132899
1725.45454545455,0.5935603946875899
1826.36363636364,0.6016694600802284
1927.27272727273,0.6169687294313312
2028.18181818182,0.6285072479562137
2129.09090909091,0.6373005495512056
2230.0,0.6515754140602219
2330.90909090909,0.6596424185618687
2431.81818181818,0.6681349210507929
2532.72727272727,0.6798061378374718
2633.63636363636,0.6881983902768463
2734.54545454546,0.7053031184853025
2835.45454545455,0.7099479619645889
2936.36363636364,0.7234308095562945
3037.27272727273,0.7366493058166483
3138.18181818182,0.7353256949348599
3239.09090909091,0.750310481189608
3340.0,0.7645758853660786
3440.90909090909,0.7662512536905952
3541.81818181818,0.7714623336849606
3642.72727272727,0.7731515908213579
3743.63636363637,0.7836059159405279
3844.54545454546,0.788927205523947
3945.45454545455,0.7936106847651069
4046.36363636364,0.8084074499622658
4147.27272727273,0.8147210118886583
4248.18181818182,0.8176740496291922
4349.09090909091,0.819713219558009
4450.0,0.8262496330309234
4550.90909090909,0.8353488698234851
4651.81818181818,0.832282145387524
4752.72727272727,0.8487939748616201
4853.63636363637,0.8522438634863592
4954.54545454546,0.8601979154288898
5055.45454545455,0.8488724036183056
5156.36363636364,0.8619560749324062
5257.27272727273,0.8549289230110221
5358.18181818182,0.8607224495849921
5459.09090909091,0.8687556375555772
5560.0,0.8800479056240121
5660.90909090909,0.8826261337774319
5761.81818181818,0.8746628349148691
5862.72727272728,0.8891442196914826
5963.63636363637,0.8871367357854478
6064.54545454546,0.8806655744955258
6165.45454545455,0.8966685476951418
6266.36363636364,0.8968160999333713
6367.27272727273,0.8942690955802293
6468.18181818182,0.9039316597304892
6569.09090909091,0.9020719901595179
6670.0,0.9037786976353136
6770.90909090909,0.9079384701297013
6871.81818181819,0.9100139160458683
6972.72727272728,0.9148575918522323
7073.63636363637,0.9140392527321525
7174.54545454546,0.9193100717675889
7275.45454545455,0.9120671495917836
7376.36363636364,0.9255362854396704
7477.27272727273,0.9189906059438535
7578.18181818182,0.9279120587538333
7679.09090909091,0.9289720646041734
7780.0,0.9297373274572859
7880.9090909091,0.9299127130251229
7981.81818181819,0.9305448570727579
8082.72727272728,0.9265589125444552
8183.63636363637,0.926900756628895
8284.54545454546,0.931813560660405
8385.45454545455,0.9316506351743722
8486.36363636364,0.9401724989708069
8587.27272727273,0.9357560867854319
8688.18181818182,0.9430687338500832
8789.09090909091,0.9461770785349477
8890.0,0.9438311508358008
8990.90909090909,0.9500331955963005
9091.81818181818,0.9508906973789675
9192.72727272727,0.9415252024277905
9293.63636363636,0.9546107412571658
9394.54545454545,0.9476679792469141
9495.45454545454,0.9436849520203887
9596.36363636363,0.9580127125972049
9697.27272727272,0.9471977264620357
9798.18181818181,0.9547575061105975
9899.0909090909,0.9511192457869944
10000.0,0.9502628594900162
